zip,donations,total,total_population,donations_per_1000
20601,6976,190404.72999999975,25517,273.38636987106634
20602,6758,109716.81999999996,26550,254.53860640301318
20603,12854,248108.6100000006,31975,402.00156372165753
20604,247,8033.67,NA,NA
20606,11,131.43,374,29.41176470588235
20607,6889,181393.81000000043,10843,635.3407728488426
20608,337,2569.720000000003,860,391.8604651162791
20609,61,2290,1151,52.99739357080799
20610,68,1669.1999999999998,NA,NA
20611,46,1206,1634,28.151774785801713
20612,21,399.17,203,103.44827586206897
20613,6436,170352.85000000012,14020,459.0584878744651
20614,21,409,NA,NA
20615,25,633,421,59.38242280285035
20616,1703,38740.899999999994,6389,266.5518860541556
20617,274,7542.26,832,329.3269230769231
20618,313,6069.32,406,770.935960591133
20619,2733,63659.01000000006,15052,181.57055540791922
20620,393,7357.65,1369,287.0708546384222
20621,66,967,960,68.75
20622,356,8922.109999999999,6887,51.69159285610571
20623,2075,33616.96000000001,2997,692.3590256923591
20624,60,795,1409,42.583392476933994
20625,454,9224.020000000004,646,702.7863777089783
20626,240,3636.8600000000006,304,789.4736842105264
20627,8,40,NA,NA
20628,43,12163.26,477,90.14675052410902
20629,37,813,383,96.60574412532637
20630,371,24333.75,301,1232.5581395348836
20632,21,2812.5,432,48.611111111111114
20634,1095,27256.079999999944,6478,169.03365236184007
20635,23,1176,NA,NA
20636,2316,58391.37,10805,214.345210550671
20637,2083,40167.06999999999,5751,362.19787862980354
20638,24,729.74,NA,NA
20639,3313,119571.28999999998,15793,209.77648325207372
20640,1569,24599.82999999998,10333,151.84360785831802
20644,33,659,NA,NA
20645,199,10778.3,749,265.6875834445928
20646,5566,130374.95000000004,21951,253.56475786980093
20647,1,39.8,NA,NA
20649,6,330,NA,NA
20650,3964,144375.84000000023,14672,270.1744820065431
20653,3608,81705.0799999999,24274,148.6364010875834
20656,38,1569.76,NA,NA
20657,5067,125720.03000000009,19226,263.54936024133985
20658,288,10475.370000000004,848,339.62264150943395
20659,2061,66697.38,23312,88.40940288263555
20660,5,190,0,Inf
20662,316,3207.0199999999995,2876,109.87482614742699
20663,6,135,NA,NA
20664,225,19794.23,3462,64.99133448873484
20667,37,1525.39,633,58.45181674565561
20669,1,20,NA,NA
20670,100,2542.67,1441,69.39625260235947
20674,355,9889.67,848,418.6320754716981
20675,265,13192.1,2017,131.38324243926624
20676,4042,51759.59,3848,1050.4158004158005
20677,666,19220.51,2416,275.6622516556291
20678,2380,49224.85999999996,12261,194.11141016230323
20679,1,250,NA,NA
20680,87,6197.360000000001,934,93.14775160599571
20682,3,153,NA,NA
20683,6,280,NA,NA
20684,90,3067.24,1066,84.42776735459661
20685,2422,44961.41000000005,6942,348.8908095649669
20686,776,26377.35,1775,437.1830985915493
20687,80,2937.49,448,178.57142857142858
20688,3855,84676.29000000008,1749,2204.1166380789023
20689,201,18325.74,2081,96.58817876021143
20690,697,10894.629999999992,905,770.1657458563535
20691,4,84,NA,NA
20692,161,5585.110000000001,899,179.08787541713014
20693,226,5676.370000000001,833,271.3085234093637
20694,3,28,NA,NA
20695,4407,98344.96999999994,8089,544.8139448633948
20696,2,189.92,NA,NA
20697,12,89,NA,NA
20698,11,205.5,NA,NA
20701,127,5610.76,92,1380.4347826086955
20702,2,42,NA,NA
20703,225,2404.51,NA,NA
20704,71,1503.76,NA,NA
20705,8949,263127.96999999945,27663,323.5007049126993
20706,12313,314519.8699999994,43670,281.95557591023584
20707,16759,392772.42999999854,32798,510.97627904140495
20708,7135,155413.97000000026,27843,256.258305498689
20709,69,826,NA,NA
20710,645,28141.24,9553,67.51805715482047
20711,1572,67949.20999999996,7413,212.05989477944152
20712,4346,127500.21000000004,9608,452.33139050791004
20713,38,307,NA,NA
20714,2108,41288.52999999997,4683,450.13879991458464
20715,17641,314771.77000000153,27556,640.1872550442735
20716,9976,277360.8199999999,22237,448.62166659171646
20717,56,1502.75,NA,NA
20718,237,5407.000000000001,NA,NA
20719,14,385,NA,NA
20720,17274,545108.1899999978,22971,751.9916416351051
20721,27247,1016134.5099999992,29730,916.4816683484696
20722,4938,57960.55000000015,5728,862.0810055865921
20723,12363,402577.18000000034,35411,349.12880178475615
20724,6276,110552.95999999986,17513,358.3623593901673
20725,122,5023.42,NA,NA
20726,62,948,NA,NA
20727,5,13,NA,NA
20729,3,70.17,NA,NA
20730,2,25,NA,NA
20731,115,653,NA,NA
20732,4164,104842.46,9820,424.03258655804484
20733,1910,50651.11,2777,687.7925819229384
20734,20,578,NA,NA
20735,15308,316990.6299999999,38220,400.52328623757194
20736,3030,72934.04000000002,9248,327.6384083044982
20737,3706,102120.56000000011,22295,166.2256111235703
20738,65,964,NA,NA
20739,4,160,NA,NA
20740,12587,317914.8899999996,31349,401.5120099524706
20741,1486,40967.22999999998,NA,NA
20742,56,12867.61,6726,8.325899494498959
20743,6852,165297.1299999999,37888,180.84881756756758
20744,31497,615052.9699999988,54925,573.4547109695038
20745,12754,230824.93999999977,27790,458.9420654911839
20746,5612,110835.93000000008,27041,207.53670352427795
20747,9223,156460.6300000003,40484,227.8183973915621
20748,12089,230580.97000000085,38904,310.73925560353695
20749,123,2894.23,NA,NA
20750,732,10758.440000000002,NA,NA
20751,943,30918.42999999999,2091,450.98039215686276
20752,39,1026,NA,NA
20753,147,2130,NA,NA
20754,1806,52836.890000000014,7124,253.50926445816958
20755,718,13748.61,10873,66.03513289800424
20757,115,2539.17,NA,NA
20758,169,6653.169999999999,451,374.72283813747225
20759,4003,216717.4500000003,5311,753.7186970438712
20762,160,2821.08,3079,51.96492367651835
20763,1067,16640.289999999997,1635,652.5993883792049
20764,1593,58113.28999999995,3829,416.03551841211805
20765,376,18800.06,407,923.8329238329238
20768,190,4025.74,NA,NA
20769,7457,183612.53000000017,6222,1198.4892317582771
20770,17073,470197.8199999965,24560,695.1547231270358
20771,16,223,NA,NA
20772,24555,701566.209999997,45321,541.801813728735
20773,348,13695.669999999998,NA,NA
20774,28133,790564.2600000018,47165,596.4804410049826
20775,333,8819.52,NA,NA
20776,1344,43335.319999999985,3271,410.8835218587588
20777,2707,111532.35999999994,3687,734.2012476267969
20778,1436,39547.169999999984,2079,690.7166907166908
20779,687,29339.599999999988,993,691.8429003021148
20781,5853,231033.8899999996,11694,500.5130836326321
20782,12863,595571.0799999984,33398,385.14282292352834
20783,5720,339753.4999999998,45302,126.26374111518254
20784,5749,90245.51000000014,30270,189.92401717872482
20785,11413,374647.23999999976,38878,293.55933947219506
20786,52,2143.299999999999,NA,NA
20787,24,339,NA,NA
20788,2,20,NA,NA
20790,2,1760,NA,NA
20791,70,2046.19,NA,NA
20792,210,9272.24,NA,NA
20794,2890,65081.25000000002,17939,161.1015106750655
20795,77,1970,NA,NA
20796,3,102,NA,NA
20797,2,28,NA,NA
20798,7,89,NA,NA
20801,6,1104,NA,NA
20802,47,1088.26,NA,NA
