zip,donations,total,total_population,donations_per_1000
20601,1425,35154.4,25517,55.84512285927029
20602,897,22974.03999999998,26550,33.78531073446327
20603,1449,54640.36000000012,31975,45.316653635652855
20604,58,1159.21,NA,NA
20606,21,293.59999999999997,374,56.14973262032086
20607,578,12869.199999999992,10843,53.30628054966338
20608,26,960.7,860,30.232558139534884
20609,48,2305.4399999999996,1151,41.70286707211121
20610,40,2338.0399999999995,NA,NA
20611,35,826.2,1634,21.419828641370867
20612,146,717.07,203,719.2118226600985
20613,1242,21712.14999999992,14020,88.58773181169758
20615,156,2400.2400000000016,421,370.54631828978626
20616,292,6938.1399999999985,6389,45.703552981687274
20617,122,2581.13,832,146.6346153846154
20618,111,3086.189999999999,406,273.3990147783251
20619,1321,50741.130000000056,15052,87.76242359819294
20620,163,5863.94,1369,119.06501095690285
20621,39,1845.489999999999,960,40.625
20622,383,17405.309999999994,6887,55.61202265137215
20623,103,2147.4399999999996,2997,34.367701034367705
20624,18,727.2300000000001,1409,12.7750177430802
20625,26,1835.3699999999997,646,40.247678018575854
20626,16,1488.6,304,52.63157894736842
20627,3,520.24,NA,NA
20628,88,2661.529999999999,477,184.48637316561843
20630,57,8129.480000000001,301,189.3687707641196
20632,74,1660.4599999999996,432,171.2962962962963
20634,2590,41293.05999999995,6478,399.8147576412473
20636,1831,39801.99999999989,10805,169.45858398889402
20637,1342,50569.88999999994,5751,233.3507216136324
20639,4060,78700.29000000027,15793,257.0759197112645
20640,1132,23500.449999999957,10333,109.55192102971063
20645,104,2337.07,749,138.85180240320426
20646,5750,92164.8600000004,21951,261.9470639150836
20650,6687,111278.18000000074,14672,455.7660850599782
20653,2289,45948.46000000004,24274,94.29842629974458
20656,4,4,NA,NA
20657,1350,80439.92000000038,19226,70.21741391865183
20658,11,1121.18,848,12.971698113207548
20659,3755,91069.19000000054,23312,161.07584076870282
20660,2,2000,0,Inf
20662,133,9742.390000000005,2876,46.24478442280946
20664,281,8245.47,3462,81.16695551704217
20667,30,1417.13,633,47.393364928909946
20670,19,705.89,1441,13.1852879944483
20674,209,9114.100000000006,848,246.46226415094338
20675,131,4188.69,2017,64.94794248884482
20676,691,23146.85999999999,3848,179.57380457380455
20677,10510,52261.30000000037,2416,4350.165562913907
20678,2547,50940.49999999995,12261,207.7318326400783
20680,44,1978.8,934,47.109207708779444
20684,75,3987.879999999999,1066,70.35647279549718
20685,1045,30678.48999999994,6942,150.5329876116393
20686,5,389.33,1775,2.8169014084507045
20687,7,244.3,448,15.625
20688,2245,37209.47999999994,1749,1283.5906232132647
20689,49,2773.0099999999993,2081,23.546371936568956
20690,735,14588.270000000004,905,812.1546961325968
20692,20,1091.63,899,22.24694104560623
20693,52,1714.5400000000006,833,62.4249699879952
20695,426,14520.069999999992,8089,52.66411175670664
20701,15,1439.86,92,163.04347826086956
20703,36,1705.4399999999998,NA,NA
20705,805,22559.73999999999,27663,29.100242200773597
20706,1107,29126.840000000055,43670,25.34920998397069
20707,1548,34556.44999999992,32798,47.197999878041344
20708,789,54085.47,27843,28.33746363538412
20709,7,876.03,NA,NA
20710,72,2001.2699999999995,9553,7.536899403328797
20711,727,37307.29999999996,7413,98.07095642789695
20712,173,4516.9000000000005,9608,18.005828476269777
20714,382,12063.769999999988,4683,81.5716421097587
20715,4184,142469.33000000103,27556,151.83626070547248
20716,1680,27480.630000000012,22237,75.54975940999235
20717,1,26.03,NA,NA
20718,1,24.98,NA,NA
20720,1111,34529.47999999995,22971,48.365330198946495
20721,535,14887.369999999986,29730,17.995290951900436
20722,233,3351.6400000000003,5728,40.677374301675975
20723,1100,43215.24999999997,35411,31.06379373640959
20724,696,11786.809999999992,17513,39.741906012676296
20725,12333,55055.410000000214,NA,NA
20726,8,423.17,NA,NA
20732,1193,30932.33999999991,9820,121.4867617107943
20733,781,35883.32,2777,281.2387468491178
20735,1180,22491.139999999927,38220,30.87388801674516
20736,765,36527.33999999994,9248,82.72058823529412
20737,225,5443.21,22295,10.091948867459072
20738,9,132,NA,NA
20740,1193,56220.70999999998,31349,38.05544036492392
20741,34,671.36,NA,NA
20742,1,1,6726,0.14867677668748142
20743,183,4492.559999999999,37888,4.830025337837838
20744,2353,35052.24999999999,54925,42.84023668639053
20745,1032,53411.80999999974,27790,37.13566030946384
20746,140,2967.6399999999994,27041,5.1773233238415735
20747,375,12687.24,40484,9.262918683924513
20748,653,14587.360000000004,38904,16.78490643635616
20749,83,79.14999999999999,NA,NA
20750,4,102.06,NA,NA
20751,672,10915.30000000001,2091,321.377331420373
20753,7,250.49,NA,NA
20754,1336,44534.28999999998,7124,187.5350926445817
20755,167,4977.139999999996,10873,15.359146509702933
20757,6,153.85,NA,NA
20758,135,4327.030000000003,451,299.33481152993346
20759,1027,36052.18999999997,5311,193.37224628130295
20760,3,30.82,NA,NA
20762,48,14706.78,3079,15.589477102955504
20763,71,3276.5099999999993,1635,43.42507645259939
20764,462,12968.499999999998,3829,120.6581352833638
20765,522,6221.2599999999975,407,1282.5552825552827
20768,8,446.61,NA,NA
20769,210,15896.250000000004,6222,33.751205400192866
20770,496,21328.50999999997,24560,20.195439739413683
20772,1389,31955.939999999937,45321,30.64804395313431
